City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Seoul,KR,37.5683,126.9778,53.6,43,0,3.44,clear sky
314,Baykit,RU,61.67,96.37,14.7,91,89,6.96,overcast clouds
315,Hervey Bay,AU,-25.2986,152.8535,86.0,48,28,12.66,scattered clouds
316,Faanui,PF,-16.4833,-151.75,82.17,79,100,18.5,light rain
317,Marzuq,YE,14.4,46.4667,63.12,30,4,1.68,clear sky
318,Mamboma,SL,8.0833,-11.6833,76.08,89,94,1.52,overcast clouds
319,Sept-Iles,CA,50.2001,-66.3821,24.8,63,0,6.91,clear sky
320,Port Hedland,AU,-20.3167,118.5667,89.6,58,0,16.11,clear sky
321,Lazaro Cardenas,MX,17.9583,-102.2,73.8,87,0,1.83,clear sky
322,Oktyabrskiy,RU,54.4815,53.471,20.14,96,100,19.46,light snow
323,Vila Velha,BR,-20.3297,-40.2925,71.6,100,40,4.61,scattered clouds
324,Nishihara,JP,26.1842,127.7558,75.2,56,40,12.66,scattered clouds
325,Auki,SB,-8.7676,160.7034,84.25,73,100,1.3,overcast clouds
326,Strai,NO,58.2,7.9,21.2,73,91,5.75,overcast clouds
327,Agua Verde,MX,22.9,-106.05,71.01,56,20,4.61,few clouds
328,Van Wert,US,40.8695,-84.5841,34.0,59,1,3.44,clear sky
329,Port Moresby,PG,-9.4431,147.1797,86.0,70,40,8.05,scattered clouds
330,Bilibino,RU,68.0546,166.4372,-20.0,83,100,4.18,light snow
331,Paita,PE,-5.0892,-81.1144,76.44,75,100,10.58,overcast clouds
332,Bengkulu,ID,-3.8004,102.2655,79.52,85,97,12.17,light rain
333,Maldonado,UY,-34.6667,-54.9167,69.8,83,0,8.05,clear sky
334,Svetlaya,RU,46.5389,138.3297,28.27,83,0,5.06,clear sky
335,Prince Rupert,CA,54.3161,-130.3201,42.8,87,40,4.61,scattered clouds
336,Kincardine,GB,56.0667,-3.7167,45.0,93,90,10.36,overcast clouds
337,Narsaq,GL,60.9167,-46.05,30.2,80,90,12.66,light snow
338,Norman Wells,CA,65.282,-126.8329,-4.0,77,75,12.66,broken clouds
339,Cacu,BR,-18.5567,-51.1308,68.81,92,100,4.47,light rain
340,Koulamoutou,GA,-1.1303,12.4736,72.55,91,100,2.33,overcast clouds
341,Valparaiso,CL,-33.0393,-71.6273,63.0,79,0,11.5,clear sky
342,Podporozhye,RU,60.9112,34.1706,5.16,93,100,11.45,overcast clouds
343,Vitim,RU,59.4511,112.5578,23.29,94,100,13.69,light snow
344,Udachnyy,RU,66.4167,112.4,6.75,91,99,6.89,overcast clouds
345,Salalah,OM,17.0151,54.0924,71.6,68,0,2.3,clear sky
