City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
561,Florianopolis,BR,78.8,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
562,Nacala,MZ,72.97,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
569,Honiara,SB,86.9,broken clouds,-9.4333,159.95,Heritage Park Hotel
570,Muswellbrook,AU,82.0,broken clouds,-32.2667,150.9,Wayfarer Motel
574,Kempsey,AU,82.0,broken clouds,-31.0833,152.8333,Park Drive Motel
583,Muisne,EC,75.99,light rain,0.6,-80.0333,Quinta Samay
589,Sur,OM,71.58,clear sky,22.5667,59.5289,Sur Plaza Hotel
592,Phan Thiet,VN,73.08,scattered clouds,10.9333,108.1,Hotel Saigon-PT
593,Puerto Madero,MX,84.2,scattered clouds,14.7208,-92.4215,Hotel La Central
594,Manicore,BR,73.54,moderate rain,-5.8092,-61.3003,Hotel Durval
598,Lhokseumawe,ID,75.56,clear sky,5.1801,97.1507,OYO 3278 Penginapan Alfajri
600,Jardim,BR,71.04,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
601,Gigmoto,PH,79.65,scattered clouds,13.7796,124.39,Cj's Travellers Inn
608,Sao Joao Da Barra,BR,75.43,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
611,Kudat,MY,77.0,few clouds,6.8837,116.8477,Dream Garden Hotel
616,Santa Cruz,BO,75.2,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
617,Quatre Cocos,MU,77.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
623,Kochi,IN,80.6,mist,9.9399,76.2602,Hotel Abad
626,Boali,CF,82.4,scattered clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
633,Victoria Point,AU,81.0,broken clouds,-27.5833,153.3,Bay Retreat Motel
635,Meulaboh,ID,74.95,clear sky,4.1363,96.1285,Kost Pria
636,Caravelas,BR,76.12,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
637,Arawa,PG,84.11,light rain,-6.2132,155.5367,Coastline Guest House
643,Manokwari,ID,78.01,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
647,Salta,AR,71.6,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
648,Mariel,CU,71.6,scattered clouds,22.9875,-82.7536,Casa de Alojamiento Marilda y Jesus
650,Bela Vista,BR,72.0,clear sky,-22.1089,-56.5211,Bella Vista Palace Hotel
653,Ternate,ID,81.45,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
656,Kununurra,AU,80.6,broken clouds,-15.7667,128.7333,Hotel Kununurra
658,San Alberto,CO,81.95,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
664,Doba,TD,78.48,clear sky,8.65,16.85,Restaurant Auberge La Pétrolière
665,Huarmey,PE,73.92,broken clouds,-10.0681,-78.1522,Hotel Miramar
666,Bartica,GY,77.0,scattered clouds,6.4,-58.6167,Relax Inn Hotel
667,Abomey,BJ,79.12,broken clouds,7.1829,1.9912,Residence Hotel Marie Emmanuella
673,San Pedro,PH,80.6,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
674,Katherine,AU,80.6,overcast clouds,-14.4667,132.2667,Pine Tree Motel
678,Sola,VU,81.75,overcast clouds,-13.8833,167.55,Leumerus Bungalows
682,Tabou,CI,78.71,broken clouds,4.423,-7.3528,hotêl doufoulougou
683,Guiratinga,BR,70.77,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
684,Ocos,GT,86.0,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
690,Neiafu,TO,82.4,scattered clouds,-18.65,-173.9833,Mystic Sands
693,Wanning,CN,73.31,broken clouds,18.8003,110.3967,Paradise Hotel
699,Rosignol,GY,77.07,overcast clouds,6.2833,-57.5333,Little Rock Suites
701,Cozumel,MX,75.99,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
